F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,class
227.78,217.84,209.91,195.13,200.55,224.81,218.77,199.56,-4.88,34.83,34.09,9.55,7.42,6.69,69.65,59.87,-17.96,-17.29,-15.14,-12.98,82.04,84.3,54.15,172.95,266.37,261890378.2,1
226.55,221.2,212.26,196.04,200.59,224.51,219.71,200.51,-6.35,29.48,32.8,11.25,8.34,8.02,67.88,61.74,-20.57,-19.8,-17.36,-14.86,79.43,80.36,38.97,146.34,235.98,263035181.7,1
225.1,224.05,214.53,196.82,200.63,224,220.3,201.39,-6.47,26.99,33,12.83,9.11,9.22,66.55,59.74,-22.47,-21.64,-18.97,-16.24,77.53,79.67,34.8,138.75,228.28,265207518.2,1
224.54,227.12,217.16,197.76,200.7,224.9,221.46,202.38,2.7,-0.16,38.45,14.74,10.17,10.28,69.17,62.6,-14.79,-14.25,-12.49,-10.69,85.21,80.72,41.13,143.29,235.29,265224066.3,1
225.28,227.2,219.97,198.71,200.72,225.82,222.59,203.37,2.52,-4.22,37.35,16.32,11.5,11.46,69.85,66.02,-13.02,-12.27,-11.04,-9.21,86.98,83.24,47.8,143.56,236.12,266608358,1
224.84,226.31,222.3,199.59,200.72,224.86,222.65,204.14,-0.97,-7.11,28.51,17.42,12.46,12.53,62.72,62.17,-25.83,-21.74,-19.55,-16.32,74.17,82.12,16.85,117.19,202.46,265950782.2,0
224.93,225.74,224.44,200.47,200.73,224.7,222.97,204.93,1.41,-5.86,28.4,18.35,13.3,13.31,63.93,66.63,-23.15,-18.83,-16.94,-14.13,76.85,79.34,22.69,117.46,203.33,261235970.5,0
225.15,225.12,226.45,201.33,200.74,224.49,223.17,205.68,-2.63,-5.39,-2.79,16.71,14.16,13.84,63.43,66.24,-62.53,-19.49,-18.27,-14.63,37.47,62.83,-47.59,105.88,187.98,257897494.8,0
223.48,224.01,225.84,202.02,200.77,222.45,222.29,206.18,-9.32,-5.63,-13.54,14.5,14.85,14.22,55.31,64.01,-98.29,-30.84,-28.91,-23.15,1.71,38.68,-139.04,83.85,158.83,255945894.8,0
220.72,223,224.55,202.54,200.79,219.58,220.76,206.48,-9.08,-11.31,-16.19,12.36,15.54,12.34,49.86,64.27,-94.84,-39.83,-37.34,-29.89,5.16,14.78,-205.74,57.31,124.33,251072936.6,0
219.75,222.3,223.7,203.22,200.88,219.09,220.28,206.94,-6.28,-5.79,-12.14,10.29,16.27,10.12,54.43,65.47,-73.12,-31.34,-29.38,-23.52,26.88,11.25,-137.04,59.75,128.02,248584784.1,1
217.94,221.44,222.63,203.86,200.94,217.84,219.38,207.27,-8.73,-7.65,-14.12,8.05,16.71,8.06,51.15,62.64,-87.22,-36.88,-34.57,-27.68,12.78,14.94,-122.12,52.78,119.02,250366432.1,0
216.59,220.87,221.77,204.51,201.06,217.65,219,207.66,-1.08,-9.41,-6.71,6.43,17.27,6.15,53.28,64.83,-68.72,-32.99,-30.93,-26.78,31.28,23.65,-112.3,46.98,111.45,248492542.1,1
215.96,219.72,221.14,205.17,201.11,216.85,218.31,207.96,1.39,-12.44,-9.92,4.73,16.14,4.23,50.79,65.44,-79.18,-38.49,-34.74,-30.08,20.82,21.63,-96.94,43.95,107.17,251366356.8,0
215.77,218.24,220.26,205.74,201.2,215.53,217.33,208.15,-5.22,-10.04,-11.01,3.05,14.68,2.58,48.01,62.8,-91.23,-43.35,-40.69,-33.88,8.77,20.29,-98.69,35.35,96.44,251418856.8,0
215.1,217.43,219.61,206.34,201.28,215.27,216.86,208.41,-0.58,-9.64,-8.23,1.46,13.44,0.82,50.33,62.47,-81.69,-39.5,-37.46,-30.87,18.31,15.97,-72.27,37.13,97.46,249681090.9,1
213.88,215.91,218.63,206.81,201.32,213.26,215.47,208.44,-8.05,-14.83,-17.46,-0.69,12.19,-0.91,44.06,59.03,-93.55,-50.92,-48.29,-39.8,6.45,11.18,-115.38,14.74,72.45,250314752.9,0
213,214.8,217.64,207.22,201.37,213.14,215.01,208.62,-2.33,-5.45,-14.77,-2.69,11.16,-2.32,48.65,61.13,-75.39,-43.31,-41.7,-33.85,24.61,16.46,-90.07,19.17,76.6,248170622.8,1
211.6,213.78,216.25,207.55,201.42,211.5,213.77,208.6,-4.67,-5.63,-14.71,-4.35,10.17,-4.04,43.72,59.43,-95.28,-54.13,-51.05,-41.43,4.72,11.93,-119.14,6.59,63.07,251079904.3,0
211.94,213.85,215.66,207.99,201.51,212.52,213.92,208.83,-0.18,-3.54,-9.82,-5.82,9.39,-4.43,50.97,61,-66.17,-45.62,-38.39,-31.16,33.83,21.05,-65.33,20.05,76.38,248793135.8,1
211.63,213.36,214.86,208.36,201.67,212.75,213.79,209.01,3.98,-2.12,-10.85,-6.13,8.59,-4.33,49.5,58.74,-68.38,-50.54,-41.1,-33.36,31.62,23.39,-25.74,26.62,82.09,251726432,0
213.31,213.59,214.4,208.65,201.86,214.38,214.49,209.34,4.73,0.36,-0.72,-5.64,7.88,-4.28,54.13,59.81,-42.59,-58.97,-32.28,-26.2,57.41,40.95,70.08,40.85,94.29,250962923.3,1
214.49,213.75,214.43,208.92,202.07,215.85,215.27,209.71,10.58,3.56,4.95,-4.83,7.03,-4.17,55.29,45.01,-17.79,-54.75,-29.97,-24.32,82.21,57.08,150.32,51.95,103.93,253097871.7,0
216.54,214.07,214.76,209.27,202.19,216.73,215.86,210.06,3.91,5.59,0.37,-4.35,6.01,-3.73,54.88,41.16,-19.91,-54.47,-30.6,-24.84,80.09,73.24,94.51,44.01,95.15,251393729.7,0
216.93,214.43,214.65,209.5,202.31,216.65,215.97,210.31,3.29,1.75,1.17,-3.76,5.18,-3.25,52.29,41.09,-33,-61.28,-34.55,-28.04,67,76.43,78.1,39.81,89.79,252589381.9,0
217.57,214.6,214.72,209.78,202.43,216.58,216.05,210.55,-1.22,7.19,-0.86,-3.53,4.21,-3.01,52.18,40.89,-33.53,-61.58,-34.71,-28.17,66.47,71.19,42.81,32.81,82.05,251057089.1,0
216.99,215.15,214.54,210.12,202.51,215.96,215.81,210.71,-4.07,1.82,-0.51,-3.17,3.1,-2.69,49.85,40.41,-44.71,-65.61,-38.08,-30.9,55.29,62.92,18.06,25.95,75.13,251271342,0
216.12,215.3,214.49,210.41,202.55,215.46,215.57,210.86,-4.03,6.23,1.56,-2.69,2.31,-2.53,49.46,43.34,-46.56,-66.76,-38.63,-31.36,53.44,58.4,0.49,21.21,70.11,250129787.6,0
216.09,216.32,214.88,210.9,202.58,216.42,216.07,211.15,1.85,3.78,3.6,-2.23,1.93,-1.99,54.81,45.42,-20.77,-50.72,-30.86,-25.05,79.23,62.65,65.13,34.55,81.1,249975879,1
217.32,217.12,215.44,211.46,202.62,218.5,217.27,211.61,6.24,9.45,13.43,-1.04,1.41,-1.14,59.87,49.2,-6.33,-32.99,-22.28,-18.08,93.67,75.45,127.55,52.5,95.08,251989575.1,1
218.84,218.21,216.5,212.11,202.68,220.34,218.5,212.09,9.3,6.39,11.12,-0.05,1.01,-0.57,61.35,50.67,-6.21,-27.35,-19.55,-15.86,93.79,88.9,158.35,65.34,103.74,253858366,1
220.5,218.74,217.22,212.83,202.74,221.24,219.32,212.52,8.57,4.22,14.8,1.09,0.55,0.41,59.6,47.56,-11.58,-31.51,-21.56,-17.5,88.42,91.96,124.1,59.47,97.79,254688874.4,0
221.73,218.92,218.1,213.48,202.76,221.01,219.55,212.84,2.22,2.09,6,1.69,0.17,1.06,55.48,45.36,-27.77,-41.42,-26.44,-21.46,72.23,84.81,99.28,55.2,93.34,255023848.8,0
222.49,219.29,218.64,214.11,202.78,221.4,220.02,213.2,-0.5,5.66,8.95,2.46,-0.03,1.84,57.53,49.48,-26.03,-34.86,-23.27,-18.89,73.97,78.21,65.69,47.44,86.8,252873594.7,1
221.97,219.65,219.13,214.74,202.79,220.95,220.03,213.47,-3.96,3.65,2.43,2.58,-0.42,1.95,54.01,47.08,-44.25,-36.66,-27.44,-23.46,55.75,67.32,20.27,35.79,78.95,254726379.5,0
222.29,220.57,219.7,215.54,202.86,222.51,221.05,213.95,2.59,10.88,6.81,2.65,-0.39,2.48,60.86,50.98,-5.64,-3.9,-17.03,-14.02,94.36,74.7,120.42,66.88,96.21,255302424.1,1
222.81,221.65,220.19,216.29,202.91,223.54,221.88,214.4,5.05,11.17,7.14,2.91,-0.5,2.6,60.87,54.93,-12.58,-8.9,-17.01,-14,87.42,79.18,116.8,73.07,98.16,257218213.6,1
222.95,222.34,220.39,216.89,202.91,222.8,221.77,214.68,-0.85,2.96,4.81,3.05,-0.41,2.61,53.66,55.08,-41.43,-29.29,-25.93,-21.35,58.57,80.11,26.46,39.83,79.99,257532499.3,0
224.19,223.34,221.24,217.64,202.94,224.65,222.97,215.21,8.28,5.69,11.93,3.54,-0.41,2.74,61.65,56.72,0,0,-11.36,-9.35,100,81.99,124.51,82.18,99.67,257069978,1
226.04,224.01,222.16,218.43,202.96,226.21,224.12,215.76,3.71,5.29,14.59,4.12,0.39,2.94,62.6,59.41,-0.12,-0.09,-9.35,-7.7,99.88,86.15,133.88,94.35,103.67,259399978,1
226.83,224.56,223.22,219.25,202.91,227.31,225.11,216.3,3.91,6.51,15.08,4.64,1.06,3.22,62.82,58.44,0,0,-9.11,-7.34,100,99.96,122.74,98.43,103.66,260722111.3,1
227.11,224.96,224.12,219.99,202.83,227.23,225.46,216.73,5.75,6.49,8.71,4.84,1.57,3.33,58.53,58.09,-21.45,-14.26,-16.05,-11.55,78.55,92.81,90.91,88.72,98.02,263402111.3,0
227.86,225.41,224.6,220.6,202.79,226.5,225.39,217.05,-3.3,2.89,2.39,4.41,2.03,3.55,55.23,58.37,-39.58,-22.59,-21.53,-14.97,60.42,79.66,37.95,64.83,88.07,261056519.4,0
227.2,225.7,224.77,221.18,202.76,226.02,225.33,217.37,-4.27,4.98,1.02,4.03,2.57,3.32,55.23,57.27,-43.6,-22.59,-32,-14.97,56.4,65.12,1.89,47.51,81.46,259844316,1
225.24,225.64,224.44,221.03,202.74,223.85,224.27,217.45,-10.03,-6.11,-3.52,3.32,2.84,2.92,46.78,57.25,-88,-45.59,-52.2,-24.43,12,42.94,-76.24,8.08,67.14,260603923.8,0
223.01,224.92,224.11,220.76,202.71,222.02,223.19,217.49,-8.69,-7.25,-2.2,3.01,3.18,2.33,45.26,54,-80.01,-50.27,-54.89,-26.98,19.99,29.46,-133.42,-31.38,53.17,258625752.3,0
220.67,223.89,223.74,220.47,202.64,219.8,221.77,217.4,-9.69,-5.95,-6.8,2.4,3.42,1.91,41.4,55.36,-84.63,-62.74,-65.63,-32.23,15.37,15.79,-170.31,-74.05,38.22,258486564.8,0
219.33,223.6,223.47,220.23,202.61,219.33,221.16,217.44,-6.66,-9.96,-1.68,2.24,3.52,1.78,46.36,53.02,-67.69,-62.62,-54.05,-26.94,32.31,22.56,-112.48,-42.89,45.92,258869976.3,1
217.53,222.36,223.18,219.96,202.54,218.22,220.22,217.38,-3.49,-13.31,-9.6,1.61,3.41,1.47,43.26,52.18,-80.99,-80.77,-60.35,-31.1,19.01,22.23,-114.74,-53.64,40.98,260192259.9,0
217.01,221.13,222.56,219.82,202.52,217.79,219.62,217.37,-1.44,-12.6,-8.69,1,3.27,1.25,44.8,49.42,-75.85,-75.64,-56.56,-29.49,24.15,25.15,-94.76,-52.08,40.01,259804597.6,0
216.83,219.92,221.98,219.67,202.52,217.69,219.23,217.37,2.11,-9.59,-3.84,0.67,3.1,0.66,45.72,48.9,-72.83,-72.63,-54.34,-28.55,27.17,23.44,-69.45,-35.67,43.35,260838768.4,1
218.99,219.83,222.33,219.71,202.59,220.51,220.49,217.72,7.78,1.12,-2.18,0.13,3.36,0.24,57.98,55.61,-24.2,-24.14,-18.55,-13.4,75.8,42.37,35.07,73.6,75.13,261869849.5,1
220.97,220.15,222.32,219.82,202.67,223.11,221.91,218.13,12.28,3.24,-1.03,-0.47,3.59,0.15,60.33,58.58,-12.35,-12.32,-9.83,-9.69,87.65,63.54,75.06,110.9,86.71,264411038.9,1
222.97,220.25,222.09,219.81,202.71,224.07,222.66,218.44,9.08,6.51,-3.52,-1.19,3.73,-0.31,56.66,56.76,-25.1,-25.03,-19.21,-13.67,74.9,79.45,39.06,70.94,72.41,266969087.7,1
224.2,220.6,221.62,219.71,202.71,223.73,222.73,218.62,5.57,4.67,-4.02,-1.68,3.39,-0.74,52.2,55.76,-41.7,-41.58,-31.23,-19.35,58.3,73.62,32.55,56.43,66.61,270853611.5,0
224.11,220.47,220.91,219.6,202.67,221.5,221.69,218.56,-9.12,1.69,-8,-2.08,2.96,-1.3,44.59,51.67,-73.54,-75.18,-55.94,-30.09,26.46,53.22,-41.65,-16.13,41.93,269659559.5,0
222.88,220.94,220.55,219.51,202.62,221.01,221.39,218.61,-8.28,1.62,-5.04,-2.31,2.79,-1.65,48.58,51.08,-55.9,-58.64,-43.47,-30.4,44.1,42.95,-32.24,-10.5,42.45,265120652,1
224.69,222.83,221.42,219.77,202.63,226.44,224.28,219.35,11.31,21.31,17.82,-1.49,2.82,-1.5,64.63,58.15,-3.96,-3.96,-3.19,-5.66,96.04,55.53,183.73,195.12,111.51,271425021.3,1
226.7,224.84,222.61,220.13,202.62,229.66,226.43,220,13.05,19.16,17.72,-0.73,2.71,-1.32,63.12,56.71,-16.53,-16.53,-13.53,-7.69,83.47,74.54,170.78,225.44,127.73,274613749.6,0
228.75,226.48,223.67,220.52,202.61,230.87,227.68,220.53,16.25,15.83,17.94,0.23,2.45,-0.93,59.72,55.61,-26.45,-26.45,-21.65,-12.31,73.55,84.35,109.75,170.39,110.69,273249461.7,0
231.76,227.94,224.87,220.8,202.54,231.28,228.48,220.98,12.08,5.92,13.7,0.82,2.33,-0.27,58.25,56.37,-32.2,-30.75,-25.17,-14.31,67.8,74.94,81.44,146.05,103.07,272539994.8,0
233.92,228.4,225.76,221.11,202.48,231.12,228.9,221.36,-6.51,2.52,14.8,1.76,2.16,0.55,56.66,54.8,-37.08,-35.3,-28.89,-16.43,62.92,68.09,59.36,124.18,96.66,271794070.9,1
233.45,229.07,227.11,221.46,202.43,232.4,230.01,221.9,-1.12,8.96,18.04,2.78,2.19,1.11,60.43,58.09,-21.55,-20.51,-16.79,-9.55,78.45,69.72,83.52,156.11,114.31,271106500.4,1
233.03,229.87,228.33,221.83,202.45,232.93,230.73,222.37,0.69,10.95,16.52,3.57,2.38,2.08,59.13,54.79,-26.17,-24,-19.64,-11.17,73.83,71.73,70.61,144.61,112.19,271329853,0
233.68,231.22,229.69,222.31,202.46,234.14,231.79,222.93,4.47,19.51,10.39,4.05,2.85,3.1,61.48,56.07,-16.21,-14.86,-12.16,-7.16,83.79,78.69,77.11,150.67,119.35,269654101.7,1
234.14,232.95,230.28,222.7,202.46,234.22,232.26,223.38,3.57,14.37,6.09,4.32,3.38,4.03,58.41,57.43,-24.66,-22.61,-18.5,-10.99,75.34,77.65,57.54,131,112.78,270256438.6,0
234.79,234.36,230.69,223.2,202.44,234.17,232.59,223.8,-0.91,-3.26,8.05,4.77,3.84,4.28,57.95,53.51,-25.9,-23.75,-19.44,-11.55,74.1,77.74,49.19,122.39,110.68,269562732.3,1
234.35,233.9,231.17,223.59,202.47,233.7,232.62,224.15,-1.24,-3.34,9.71,5.3,4.41,4.27,56.02,52.1,-30.98,-28.4,-23.25,-14,69.02,72.82,26.35,103.84,101.44,268544860.8,0
234.04,233.54,231.84,224.08,202.64,233.28,232.59,224.47,-4.12,-0.86,15.39,6.2,4.92,4.4,55.55,51.78,-32.18,-29.51,-24.15,-14.54,67.82,70.31,13.27,94.48,98.07,268088720.5,1
233.36,233.52,233,224.45,202.77,233.25,232.7,224.81,-1.19,1.1,13.18,6.9,5.37,4.53,56.51,53.83,-29.27,-26.84,-25.52,-13.22,70.73,69.19,33.53,109.41,106.32,267688868.8,0
233.97,234.06,234.24,224.94,202.87,234.64,233.55,225.31,3.36,6.61,0.1,6.22,5.5,5.13,61.52,57.52,-20.44,-11.8,-11.78,-9.13,79.56,72.7,93.48,122.24,115.36,265328088.3,1
235.47,235.13,234.54,225.41,203.01,236.94,235.01,225.94,8.8,6.58,5.46,5.74,5.6,5.52,65.69,59.56,-8.97,-4.2,-4.2,-3.02,91.03,80.44,244.74,156.05,138.57,268584370.2,1
237.15,235.75,234.91,225.86,203.16,238.35,236.13,226.54,8.73,7.18,7.87,5.36,5.8,4.86,64.99,63.35,-14.84,-7.09,-7.08,-3.65,85.16,85.25,230.97,160.28,144.32,270488781,1
238.74,236.39,235.41,226.3,203.28,239.02,236.9,227.08,7.16,3.79,8.26,5.15,6.23,4.17,63.43,63.59,-20.42,-9.76,-9.74,-5.81,79.58,85.26,130.48,136,132.22,269517531,0
239.99,236.68,235.94,226.76,203.39,239.16,237.36,227.57,2.03,5.07,8.64,4.91,7.03,3.68,61.67,65.3,-28.97,-14.68,-14.06,-8.9,71.03,78.59,119.54,132.77,133.06,270150719.5,0
241.12,237.55,236.81,227.29,203.52,240.47,238.4,228.18,1.55,9.04,8.13,4.53,7.82,3.39,65.8,65.57,-12.95,-5.82,-5.57,-2.94,87.05,79.22,122,142.09,140.01,268519587.4,1
241.05,238.26,237.26,227.82,203.64,240.72,238.91,228.69,0.03,8.45,7.21,4.17,7.62,3.48,62.05,65.97,-26.62,-11.96,-11.44,-8.97,73.38,77.16,82.36,126.77,131.74,269523685.7,0
241.97,239.56,238.1,228.45,203.78,242.39,240.15,229.36,5.39,13.3,9.18,4.13,7.57,3.5,66.91,67.46,-7.12,-3.54,-3.3,-2.76,92.88,84.44,123.17,151.46,149.26,269440726.1,1
242.68,240.71,238.62,228.96,203.94,242.9,240.84,229.93,4.47,10.73,9.54,4.26,7.65,3.45,63.41,65.78,-21.7,-11,-10.26,-5.61,78.3,81.52,109.1,144.18,148.26,271168947.5,0
244.01,242,239.46,229.43,204.12,243.97,241.8,230.56,3.01,8.69,12.05,4.41,7.81,3.16,65.73,62.9,-8.42,-4.27,-3.98,-2.35,91.58,87.59,103.26,140.37,148.81,269423513.7,1
244.82,242.97,240.39,229.89,204.27,245.02,242.76,231.21,5.92,5.57,14.37,4.59,8.19,2.81,66.78,62.36,-2.95,-1.5,-1.4,-4.34,97.05,88.98,112.31,141.48,153.83,270566053.4,1
245.82,243.44,241.36,230.35,204.41,245.42,243.39,231.8,0.48,5.05,13.78,4.53,8.32,2.57,64.87,63.51,-19.89,-10.78,-10.11,-5.7,80.11,89.58,113.98,140.52,156.52,273031616.3,0
246.33,244.15,242.49,230.91,204.56,246.37,244.28,232.44,4.35,7.92,15.08,4.6,8.47,3.17,67.17,67.08,-9.75,-4.94,-4.63,-4.05,90.25,89.14,109.06,138.18,158.24,271049826.8,1
247.12,244.9,243.54,231.42,204.74,246.87,244.93,233.05,1.77,8.43,10.46,5,8.64,3.72,66.28,72.58,-16.64,-8.65,-8.13,-4.63,83.36,84.57,95.78,133.65,157.19,272639826.8,0
247.14,245.58,244.16,231.94,204.95,246.66,245.17,233.57,-0.9,3.12,4.67,4.97,8.88,4.08,62.5,69.57,-32.3,-18.04,-12.45,-9.38,67.7,80.44,65.4,119.93,148.5,272681625,0
247.99,246.41,244.87,232.46,205.22,248.23,246.3,234.26,5.16,10.18,10.21,5.06,9.31,4.24,68.51,62.82,-9.1,-5.49,-3.29,-10.88,90.9,80.65,143.09,142.76,170.17,270301202,1
250.58,248.2,246.15,233.13,205.57,251.87,248.63,235.24,10.87,13.4,18.79,5.47,9.99,4.27,75.01,68.79,-1.32,-0.91,-0.6,-1.15,98.68,85.76,234.08,185.33,211.3,272916802,1
252.34,249.34,247.35,233.84,205.89,253.61,250.17,236.1,9.21,13.17,17.64,5.81,10.57,4.45,70.85,69.63,-13.57,-9.29,-6.14,-3.91,86.43,92,192.53,178.35,210.36,275242869.8,0
253.9,250.51,248.5,234.39,206.22,254.29,251.17,236.86,9.45,9.56,12.57,5.98,11.07,4.61,68.04,69.39,-20.42,-13.82,-9.14,-5.81,79.58,88.23,117.23,153.41,192.01,273142492.4,0
255.78,251.46,249.4,234.92,206.59,254.74,251.98,237.6,4.25,8.51,14.43,6.26,11.23,4.92,67.96,70.83,-20.83,-15.07,-9.22,-8.33,79.17,81.73,92.54,143.84,185.77,272789079.3,0
257.55,252.77,250.76,235.53,206.92,256.57,253.48,238.49,1.1,14.02,14.5,6.46,11.28,5.03,72.12,71.05,-8.53,-5.68,-3.56,-4.99,91.47,83.41,109.67,154.24,200.14,272772583.9,1
257.98,254.28,251.87,236.22,207.28,258.14,254.9,239.38,4.18,13,17.35,6.77,11.32,5.28,72.96,72.7,-13.45,-8.58,-5.51,-3.92,86.55,85.73,123.41,162.72,213.84,274867169.3,0
258.16,255.25,252.87,236.87,207.61,258.09,255.46,240.11,2.33,10.12,11.89,6.76,11.37,5.09,66.11,67.64,-28.94,-18.45,-11.86,-8.59,71.06,83.03,73.77,136.12,189.63,274153943.5,0
258.78,256.34,253.78,237.55,207.92,258.31,256.06,240.84,3.12,12.53,11.63,6.65,11.43,5.02,66.88,70.53,-27.46,-16.19,-10.41,-9.28,72.54,76.71,65.53,128.31,184.37,272978649.4,1
259.99,257.89,254.82,238.39,208.25,259.43,257.08,241.66,1.44,10.3,15.46,6.72,11.42,4.92,69.76,72.29,-12.49,-7.34,-4.72,-4.21,87.51,77.03,86.91,134.82,190.43,272978649.4,1
260.1,258.83,255.86,239.24,208.57,259.89,257.76,242.41,-0.46,1.67,12.54,6.62,11.49,4.9,67.87,72.81,-16.97,-9.97,-6.41,-5.72,83.03,81.03,64.68,122.8,176.16,274322245.7,1
259.34,258.66,256.52,240.08,208.9,259.09,257.71,243,-0.53,0.38,9.59,6.59,11.41,5.01,61.04,69.39,-34.14,-20.84,-13.22,-11.5,65.86,78.8,41.16,112.12,162.87,280128865.9,0
258.7,258.43,257.01,240.81,209.2,257.66,257.18,243.46,-3.94,-0.86,8.59,6.74,11.39,4.9,56.19,66.27,-49.44,-29.19,-18.54,-16.11,50.56,66.48,-56.83,83.35,133.83,278171071.2,0
257.45,258.11,257.46,241.54,209.51,255.93,256.32,243.81,-9.22,-3.17,1.08,6.39,11.14,4.72,52.23,61.64,-68.89,-41.74,-23.23,-20.18,31.11,49.18,-94.44,78.47,127.86,279901148.1,0
255.04,257.52,257.34,242.2,209.79,253.84,255.11,244.04,-11.14,-10.57,-9.47,5.3,10.68,4.54,47.93,56.42,-90.93,-55.73,-29.37,-25.01,9.07,30.24,-186.05,55.39,106.73,278035592.6,0
254.2,257.15,257.15,242.98,210.13,254.76,255.38,244.54,-0.88,-4.68,-0.5,4.6,10.35,4.35,57.33,61.05,-47.36,-29.02,-15.3,-13.02,52.64,30.94,-61,77.93,124.41,276170388.8,1
253.57,256.46,256.96,243.54,210.49,254.61,255.19,244.92,-0.49,-3.68,-1.35,4.07,9.9,3.51,53.89,59.81,-61.65,-38.3,-19.91,-16.96,38.35,33.35,-53.45,74.72,121.06,278051144.6,0
253.01,255.86,256.69,244.02,210.85,253.74,254.61,245.2,-0.45,-6.74,-3.62,3.37,9.8,2.92,50.57,58.65,-76.2,-47.81,-24.61,-20.96,23.8,38.27,-89.07,58.78,108.05,276991986.7,0
252.64,255.04,256.33,244.51,211.2,252.7,253.88,245.41,0.93,-11.08,-9.64,2.44,9.7,2.31,48.6,55.33,-85.08,-53.85,-27.48,-23.4,14.92,25.69,-113.16,43.78,95.61,275971528.2,0
253.89,254.47,256.03,245.16,211.57,253.77,254.25,245.82,-0.67,-4.89,-5.35,1.57,9.44,1.94,55.62,59.97,-51.57,-36,-16.66,-14.18,48.43,29.05,-45.82,61.38,107.53,275317401.9,1
254.66,254.43,255.97,246.03,211.98,256,255.38,246.39,6.15,3,2.47,1.21,8.88,1.42,60.58,59.98,-16.22,-17.24,-7.4,-6.3,83.78,49.04,74.5,96.76,130.78,277878227.6,1
255.5,254.54,256.01,246.8,212.36,256.84,255.95,246.87,6.5,3.7,-0.24,0.75,8.34,0.74,57.6,59.86,-29.64,-26.53,-14.14,-9.7,70.36,67.52,72.89,94.09,127.09,279643802.9,0
256.91,254.96,256.03,247.24,212.78,257.58,256.52,247.35,8.46,6.6,-2.62,0.06,7.98,0.38,58.22,58.95,-25.87,-25.87,-14.25,-8.75,74.13,76.09,47.38,82.12,118.11,278697952.5,1
256.98,254.81,255.26,247.54,213.14,255.37,255.51,247.49,-4.96,1.29,-9.85,-0.8,7.36,-0.26,47.22,52.42,-80.17,-67.61,-37.09,-22.77,19.83,54.77,-41.09,47.1,94.51,280976254.4,0
254.8,254.34,254.13,247.77,213.48,251.91,253.59,247.39,-15.48,-11.6,-12.48,-1.65,6.37,-1.32,41.07,49.27,-94.55,-95.12,-53.94,-33.11,5.45,33.13,-180.16,-4.88,62.09,277237043.3,0
251.55,253.11,253.19,248.01,213.82,249.35,251.89,247.27,-14.29,-10.1,-10.59,-2.39,5.25,-2.14,40.34,47.57,-88.36,-89.51,-56.11,-34.45,11.64,12.31,-175.18,-23.35,51.39,274587280,0
248.32,251.91,252.3,248.24,214.16,247.02,250.16,247.07,-16.7,-9.65,-10.1,-2.82,4.24,-2.48,38.55,46.74,-97.65,-97.88,-65.69,-37.67,2.35,6.48,-155.03,-41.92,41.26,273770815.7,0
245.34,251.13,251.7,248.43,214.51,246.07,249.07,246.96,-6.78,-6.42,-5.49,-2.67,3.22,-2.67,41.29,48.8,-75.76,-77.85,-60.19,-34.52,24.24,12.74,-135.15,-50.89,36.59,271561238.3,1
243.94,250.46,251.3,248.63,214.87,245.36,248.14,246.84,-1.05,-11.98,-12.65,-3.14,2.03,-2.77,41.03,45.35,-76.78,-78.79,-60.92,-34.93,23.22,16.6,-96.33,-41.7,42.44,273340185.6,0
244.44,249.62,250.65,248.84,215.21,246.07,248.02,246.87,3.27,-12.98,-6.83,-3.35,1.02,-2.59,46.39,42.31,-61.61,-64.92,-50.2,-28.78,38.39,28.62,-52.51,-21.15,53.76,273367014.9,1
244.56,248.06,249.97,249.05,215.55,245.66,247.44,246.79,2.49,-13.66,-7.16,-3.48,0.19,-2.76,43.24,41.98,-72.89,-75.23,-58.17,-33.36,27.11,29.57,-48.48,-27.6,50.78,276147524,0
244.09,246.21,249.11,249.17,215.86,243.78,246.09,246.52,-4.18,-19.06,-10.6,-3.52,-0.56,-2.86,38.12,40.17,-93.63,-94.18,-72.82,-41.76,6.37,23.96,-87.32,-69.67,28.73,274052030.7,0
242.01,243.68,247.91,249.19,216.12,240.44,243.85,246.02,-10.16,-17.18,-22.14,-4.16,-1.38,-3.11,32.76,37.28,-95.06,-95.41,-91.6,-52.53,4.94,12.8,-142.69,-136.97,-7.02,270762690.6,0
240.09,242.01,246.37,249.23,216.39,238.4,242.12,245.56,-13.18,-10.68,-26.16,-5.27,-2.05,-3.22,33.62,34.16,-86.52,-87.39,-87.39,-51.61,13.48,8.26,-139.57,-152.24,-15.81,268283761.5,1
236.29,240.36,244.08,249.14,216.64,235.1,239.64,244.89,-16.36,-15.73,-30.02,-6.41,-3.29,-3.72,29.22,31.08,-98.41,-98.45,-98.51,-67.27,1.59,6.67,-145.75,-178.05,-31.56,269480186.7,0
231.9,238.23,241.54,248.85,216.86,231.04,236.6,244.03,-17.08,-19.44,-36.14,-7.7,-4.49,-4.7,25.74,30.27,-100,-100,-100,-79.9,0,5.02,-158.16,-217.54,-59.99,263651225.5,0
231.55,237.82,240.05,248.78,217.17,233.44,236.9,243.81,4.46,-5.94,-12.72,-7.81,-5.15,-5.29,45.08,40.09,-57.95,-61.62,-62.81,-50.18,42.05,14.55,-56.79,-129.14,-13.71,252351225.5,1
